title	datasetIdentifier	disease	authors	created	modified	curated	accessed	landingPage	accessPage	format	conformsTo	geography	apolloLocationCode	ISO_3166	ISO_3166-1	ISO_3166-1_alpha-3
Ecuador Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000070	https://zenodo.org/api/files/ba7ff88c-ecd0-4323-9029-def38f68814d/ecu.tar.gz	null	SPEW.IPUMS format	Ecuador	5088	EC	null	ECU
Egypt Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000071	https://zenodo.org/api/files/2585795d-6a00-4f92-b121-19c038137936/egy.tar.gz	null	SPEW.IPUMS format	Egypt	4992	EG	null	EGY
Spain Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000072	https://zenodo.org/api/files/effbafc4-bf13-46ff-8c07-24d8bd0009b6/esp.tar.gz	null	SPEW.IPUMS format	Spain	4978	ES	null	ESP
Ethiopia Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000073	https://zenodo.org/api/files/d1da8517-c4e1-49bd-85a2-9ed76dfc7a6f/eth.tar.gz	null	SPEW.IPUMS format	Ethiopia	5179	ET	null	ETH
Fiji Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000074	https://zenodo.org/api/files/af22f2cd-e41d-4da6-a173-ac221c08f71a/fji.tar.gz	null	SPEW.IPUMS format	Fiji	5168	FJ	null	FJI
France Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000075	https://zenodo.org/api/files/01e45949-277a-44ee-89d8-8d33542fa9f6/fra.tar.gz	null	SPEW.IPUMS format	France	4998	FR	null	FRA
Ghana Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000076	https://zenodo.org/api/files/9ade6711-3971-4ed5-a133-c123f8a45aa5/gha.tar.gz	null	SPEW.IPUMS format	Ghana	5092	GH	null	GHA
Greece Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000077	https://zenodo.org/api/files/dddd0e9f-98a2-41da-8fc7-ce59789015cc/grc.tar.gz	null	SPEW.IPUMS format	Greece	5090	GR	null	GRC
Haiti Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000078	https://zenodo.org/api/files/c5aedf61-dd12-4d14-b086-fc3d5a377c13/hti.tar.gz	null	SPEW.IPUMS format	Haiti	4989	HT	null	HTI
Hungary Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000079	https://zenodo.org/api/files/5d8a2e17-8059-4251-bc30-50968ab55f1e/hun.tar.gz	null	SPEW.IPUMS format	Hungary	5082	HU	null	HUN
Indonesia Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000080	https://zenodo.org/api/files/f8dc8a4e-e16b-4be8-adec-fdd924bdf597/idn.tar.gz	null	SPEW.IPUMS format	Indonesia	4973	ID	null	IDN
India Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000081	https://zenodo.org/api/files/5bfdf625-a2ea-499d-ab6f-50dc114b6fae/ind.tar.gz	null	SPEW.IPUMS format	India	5180	IN	null	IND
Iraq Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000082	https://zenodo.org/api/files/32e6ca94-e768-48d0-a77f-d319d74c9e6a/irq.tar.gz	null	SPEW.IPUMS format	Iraq	4994	IQ	null	IRQ
Israel Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000083	https://zenodo.org/api/files/1d4ba154-af7e-46e0-971f-0de1f9e2d1f7/isr.tar.gz	null	SPEW.IPUMS format	Israel	5188	IL	null	ISR
Italy Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000084	https://zenodo.org/api/files/1d737ce1-0816-4dd3-b7b0-4162e8c476a6/ita.tar.gz	null	SPEW.IPUMS format	Italy	5195	IT	null	ITA
